candidate_id,候选名称,候选层级,数字员工候选,三宝Preset候选,业务价值类型,问题类型,主核心能力,包含skill数,平均置信度,优先级,代表技能,建议下一步,复核原因
SANBAO-22e5c68c-生成制作,体验与满意度 × 生成制作 Preset 候选｜生成制作｜按技能原文流程执行,待复核资产池,待人工命名,体验与满意度 × 生成制作 Preset 候选,体验与满意度,生成制作,按技能原文流程执行,9,0.814,P3-先补证,value-proposition；value-proposition；create-test-builder；design；generating-rbs；ux-copy；Skill-SCRABLE-Review-Response-Generation；lombok-patterns,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,1 条源文件不可稳定读取；超过半数记录需要字段复核；核心能力未结构化
SANBAO-d35b3faf-检索组织,体验与满意度 × 检索组织 Preset 候选｜检索组织｜DiD/因果推断,待复核资产池,待人工命名,体验与满意度 × 检索组织 Preset 候选,体验与满意度,检索组织,DiD/因果推断,9,0.921,P3-先补证,p2s-graph-rag-knowledge-retrieval；p2s-graph-rag-knowledge-retrieval；p2s-dialogue-to-action-graph；p2s-dialogue-to-action-graph；add-lang；codegraph-add-lang；qodo-codebase-wisdom；amazon-prelaunch-competitor-teardown,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-bc221f97-检索组织,VOC 洞察与归因 Preset｜检索组织｜NLP/情感分析,待复核资产池,VOC 洞察分析员,VOC 洞察与归因 Preset,体验与满意度,检索组织,NLP/情感分析,6,0.895,P3-先补证,p2s-explainable-review-adjudication；p2s-explainable-review-adjudication；wk-workbuddy；kanban-board；kanban-board；kanban-board,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-5a40245a-检索组织,体验与满意度 × 检索组织 Preset 候选｜检索组织｜预测建模,待复核资产池,待人工命名,体验与满意度 × 检索组织 Preset 候选,体验与满意度,检索组织,预测建模,4,0.9,P3-先补证,gwas-database；uniprot-database；p2s-seasonal-aligned-churn-label；p2s-seasonal-aligned-churn-label,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-1800898c-检索组织,体验与满意度 × 检索组织 Preset 候选｜检索组织｜优化/运筹,待复核资产池,待人工命名,体验与满意度 × 检索组织 Preset 候选,体验与满意度,检索组织,优化/运筹,6,0.89,P3-先补证,cloudflare-deploy；cloudflare-deploy；durable-objects；cloudflare；mongodb-natural-language-querying；mongodb-natural-language-querying,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-22e17df4-检索组织,体验与满意度 × 检索组织 Preset 候选｜检索组织｜RAG/知识检索,待复核资产池,待人工命名,体验与满意度 × 检索组织 Preset 候选,体验与满意度,检索组织,RAG/知识检索,17,0.862,P3-先补证,clinicaltrials-database；research-router-skill；wrangler；gather-business-context；gather-business-context；product-business-analysis；redis-core；report-to-pdf,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-2f58484e-检索组织,体验与满意度 × 检索组织 Preset 候选｜检索组织｜知识图谱/本体建模,待复核资产池,待人工命名,体验与满意度 × 检索组织 Preset 候选,体验与满意度,检索组织,知识图谱/本体建模,9,0.908,P3-先补证,c4-architecture-c4-architecture；gitnexus-refactoring；gitnexus-refactoring；understand；understand；understand；understand；graphql-schema,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-f19d2622-检索组织,体验与满意度 × 检索组织 Preset 候选｜检索组织｜视觉/多模态,待复核资产池,待人工命名,体验与满意度 × 检索组织 Preset 候选,体验与满意度,检索组织,视觉/多模态,3,0.877,P3-先补证,android-emulator-qa；outcome-roadmap；outcome-roadmap,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-6e5c45ad-检索组织,VOC 洞察与归因 Preset｜检索组织｜合规/规则扫描,待复核资产池,VOC 洞察分析员,VOC 洞察与归因 Preset,体验与满意度,检索组织,合规/规则扫描,1,0.92,P3-先补证,iterable-handlebars,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-e916ae88-检索组织,体验与满意度 × 检索组织 Preset 候选｜检索组织｜工程模式/自动化,待复核资产池,待人工命名,体验与满意度 × 检索组织 Preset 候选,体验与满意度,检索组织,工程模式/自动化,5,0.922,P3-先补证,gitnexus-impact-analysis；gitnexus-impact-analysis；gitnexus-exploring；gitnexus-exploring；gifgrep,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-a4e62f94-检索组织,VOC 洞察与归因 Preset｜检索组织｜按技能原文流程执行,待复核资产池,VOC 洞察分析员,VOC 洞察与归因 Preset,体验与满意度,检索组织,按技能原文流程执行,2,0.615,P3-先补证,Skill-Search-VOC-Signal-Loop；Skill-Search-VOC-Signal-Loop,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,1 条源文件不可稳定读取；超过半数记录需要字段复核；核心能力未结构化
SANBAO-7bcebd8f-评估验证,VOC 洞察与归因 Preset｜评估验证｜DiD/因果推断,待复核资产池,VOC 洞察分析员,VOC 洞察与归因 Preset,体验与满意度,评估验证,DiD/因果推断,13,0.91,P3-先补证,market-sizing；p2s-nps-driver-analysis；p2s-nps-driver-analysis；p2s-uplift-churn-prediction；p2s-uplift-churn-prediction；peer-review；postmortem-writing；check,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-31414504-评估验证,VOC 洞察与归因 Preset｜评估验证｜NLP/情感分析,场景工作流候选,VOC 洞察分析员,VOC 洞察与归因 Preset,体验与满意度,评估验证,NLP/情感分析,10,0.948,P3-先补字段,cbec-conversion-funnel；p2s-competitive-voc-benchmarking；p2s-competitive-voc-benchmarking；Skill-VOC-Aspect-Sentiment-Extraction；问题框定；paper-write-zh-stem；paper-write-zh-stem；paper-write-zh-stem,抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
SANBAO-f1642e6d-评估验证,体验与满意度 × 评估验证 Preset 候选｜评估验证｜预测建模,待复核资产池,待人工命名,体验与满意度 × 评估验证 Preset 候选,体验与满意度,评估验证,预测建模,7,0.933,P3-先补证,p2s-cross-validation-strategies；p2s-cross-validation-strategies；3-statements；p2s-topicimpact；p2s-topicimpact；设计度量；validate-data,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-da34b1ef-评估验证,体验与满意度 × 评估验证 Preset 候选｜评估验证｜优化/运筹,待复核资产池,待人工命名,体验与满意度 × 评估验证 Preset 候选,体验与满意度,评估验证,优化/运筹,9,0.933,P3-先补证,p2s-agent-stage-evaluation；p2s-agent-stage-evaluation；darwin-skill；remove-ai-slops；remove-ai-slops；remove-ai-slops；remove-ai-slops；启发评估,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-2b74ca48-评估验证,体验与满意度 × 评估验证 Preset 候选｜评估验证｜RAG/知识检索,待复核资产池,待人工命名,体验与满意度 × 评估验证 Preset 候选,体验与满意度,评估验证,RAG/知识检索,1,0.95,P3-先补证,style-audit,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-2256d24a-评估验证,VOC 洞察与归因 Preset｜评估验证｜知识图谱/本体建模,待复核资产池,VOC 洞察分析员,VOC 洞察与归因 Preset,体验与满意度,评估验证,知识图谱/本体建模,11,0.925,P3-先补证,设计复盘；设计走查；skill-creator；skill-creator；skill-creator；skill-creator；skill-creator；skill-creator,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-677cc0a9-评估验证,体验与满意度 × 评估验证 Preset 候选｜评估验证｜视觉/多模态,待复核资产池,待人工命名,体验与满意度 × 评估验证 Preset 候选,体验与满意度,评估验证,视觉/多模态,2,0.95,P3-先补证,test-scenarios；test-scenarios,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-cdac0637-评估验证,VOC 洞察与归因 Preset｜评估验证｜实验/评估,待复核资产池,VOC 洞察分析员,VOC 洞察与归因 Preset,体验与满意度,评估验证,实验/评估,17,0.856,P3-先补证,kpi-design；receiving-code-review；receiving-code-review；receiving-code-review；receiving-code-review；receiving-code-review；receiving-code-review；moonbit-agent-guide,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,1 条源文件不可稳定读取；超过半数记录需要字段复核
SANBAO-254507f2-评估验证,VOC 洞察与归因 Preset｜评估验证｜合规/规则扫描,待复核资产池,VOC 洞察分析员,VOC 洞察与归因 Preset,体验与满意度,评估验证,合规/规则扫描,4,0.885,P3-先补证,marketo-velocity；verification-before-completion；improve-codebase-architecture；tdd,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-b0900d17-评估验证,VOC 洞察与归因 Preset｜评估验证｜工程模式/自动化,待复核资产池,VOC 洞察分析员,VOC 洞察与归因 Preset,体验与满意度,评估验证,工程模式/自动化,6,0.913,P3-先补证,grill-plan；ngs-bcl-to-fastq；verify-fix；migrate-to-shoehorn；migrate-to-shoehorn；tdd,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-bbf4301f-评估验证,VOC 洞察与归因 Preset｜评估验证｜按技能原文流程执行,待复核资产池,VOC 洞察分析员,VOC 洞察与归因 Preset,体验与满意度,评估验证,按技能原文流程执行,11,0.87,P3-先补证,spec-review；submit-branch；submit-branch；domain-modeling；executing-plans；executing-plans；executing-plans；executing-plans,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核；核心能力未结构化
SANBAO-4a673398-治理合规,体验与满意度 × 治理合规 Preset 候选｜治理合规｜DiD/因果推断,场景工作流候选,待人工命名,体验与满意度 × 治理合规 Preset 候选,体验与满意度,治理合规,DiD/因果推断,20,0.94,P3-先补字段,p2s-causal-representation-disentangle；p2s-causal-representation-disentangle；p2s-customer-churn-prediction；p2s-customer-churn-prediction；p2s-customer-journey-prototype；p2s-customer-journey-prototype；p2s-llm-review-structured-extraction；p2s-llm-review-structured-extraction,抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
SANBAO-07282ab5-治理合规,体验与满意度 × 治理合规 Preset 候选｜治理合规｜NLP/情感分析,Preset/数字员工能力池候选,待人工命名,体验与满意度 × 治理合规 Preset 候选,体验与满意度,治理合规,NLP/情感分析,84,0.95,P1-优先工作流/Preset,p2s-ai-fake-review-detection；p2s-ai-fake-review-detection；p2s-competitor-negative-campaign-detection；p2s-competitor-negative-campaign-detection；p2s-competitor-negative-campaign-detection；p2s-cs-ticket-intelligence；p2s-cs-ticket-intelligence；p2s-ds-dga-gcn-fake-review-group,进入业务价值与场景边界评审：确认输入、输出、责任人、验收证据和上下游关系。,可进入下一轮业务聚类评审
SANBAO-b2aabadc-治理合规,体验与满意度 × 治理合规 Preset 候选｜治理合规｜预测建模,原子技能组候选,待人工命名,体验与满意度 × 治理合规 Preset 候选,体验与满意度,治理合规,预测建模,4,0.895,P2-可评审,Skill-NLP-Text-Classification；slo-implementation；writing-for-agents；writing-for-agents,抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
SANBAO-6140be37-治理合规,体验与满意度 × 治理合规 Preset 候选｜治理合规｜优化/运筹,待复核资产池,待人工命名,体验与满意度 × 治理合规 Preset 候选,体验与满意度,治理合规,优化/运筹,13,0.905,P3-先补证,b2b-payment-terms-optimizer；client-report；customer-rfm-analyzer；financial-plan；周度货盘经营报告（加码/观察/淘汰）；客诉处理分流中枢（退货/差评/安全升级）；跨域触发中枢（分析结果 → 下游 Skill 路由）；portfolio-rebalance,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-020e9657-治理合规,体验与满意度 × 治理合规 Preset 候选｜治理合规｜RAG/知识检索,原子技能组候选,待人工命名,体验与满意度 × 治理合规 Preset 候选,体验与满意度,治理合规,RAG/知识检索,3,0.917,P2-可评审,p2s-customer-journey-decision-tree；p2s-customer-journey-decision-tree；cpp,抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
SANBAO-ac5e916a-治理合规,体验与满意度 × 治理合规 Preset 候选｜治理合规｜知识图谱/本体建模,待复核资产池,待人工命名,体验与满意度 × 治理合规 Preset 候选,体验与满意度,治理合规,知识图谱/本体建模,5,0.93,P3-先补证,relational-database-mcp-cloudbase；relational-database-mcp-cloudbase；relational-database-mcp-cloudbase；relational-database-mcp-cloudbase；relational-database-mcp-cloudbase,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-b07386b0-治理合规,体验与满意度 × 治理合规 Preset 候选｜治理合规｜视觉/多模态,待复核资产池,待人工命名,体验与满意度 × 治理合规 Preset 候选,体验与满意度,治理合规,视觉/多模态,5,0.928,P3-先补证,component-library-alignment；design-debt-review；twilio-numbers-senders；twilio-rcs-messaging；architecture-communicator,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-6bbf94d1-治理合规,体验与满意度 × 治理合规 Preset 候选｜治理合规｜实验/评估,待复核资产池,待人工命名,体验与满意度 × 治理合规 Preset 候选,体验与满意度,治理合规,实验/评估,2,0.94,P3-先补证,bug-review；pb-002,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-0f45f9b3-治理合规,体验与满意度 × 治理合规 Preset 候选｜治理合规｜合规/规则扫描,待复核资产池,待人工命名,体验与满意度 × 治理合规 Preset 候选,体验与满意度,治理合规,合规/规则扫描,20,0.82,P3-先补证,docs-audit；swift-standards；多语言客服回复生成（品牌调性 + 母婴用语）；AppleScript；iso-13485-certification；javascript-mastery；journal-entry-prep；papercheck,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,3 条源文件不可稳定读取；超过半数记录需要字段复核
SANBAO-75cf704e-治理合规,体验与满意度 × 治理合规 Preset 候选｜治理合规｜工程模式/自动化,待复核资产池,待人工命名,体验与满意度 × 治理合规 Preset 候选,体验与满意度,治理合规,工程模式/自动化,7,0.861,P3-先补证,dependency-updater；asyncio；redis-security；security-review；vercel-firewall；vercel-firewall；vercel-firewall,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-7967f167-治理合规,体验与满意度 × 治理合规 Preset 候选｜治理合规｜按技能原文流程执行,待复核资产池,待人工命名,体验与满意度 × 治理合规 Preset 候选,体验与满意度,治理合规,按技能原文流程执行,9,0.88,P3-先补证,客服 SLA 监控器（响应/解决时效）；店铺健康告警器（ODR/违规/账户风险）；review-agent；loop-global-todos；loopx-global-todos；review；review-security；sprint-plan,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核；核心能力未结构化
SANBAO-46513c32-数据质量,体验与满意度 × 数据质量 Preset 候选｜数据质量｜DiD/因果推断,待复核资产池,待人工命名,体验与满意度 × 数据质量 Preset 候选,体验与满意度,数据质量,DiD/因果推断,18,0.881,P3-先补证,clean-code-mentor；pr-babysit；qodo-review-resolver；triage-finding；hatch-pet；jupyter-notebooks；validate-data；work-with-pr,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-305251e3-数据质量,体验与满意度 × 数据质量 Preset 候选｜数据质量｜NLP/情感分析,Preset/数字员工能力池候选,待人工命名,体验与满意度 × 数据质量 Preset 候选,体验与满意度,数据质量,NLP/情感分析,36,0.948,P1-优先工作流/Preset,linkfox-amazon-reviews-list；p2s-baby-age-stage-demand-segmentation；p2s-baby-age-stage-demand-segmentation；p2s-bertopic-neural-topic-modeling；p2s-bertopic-neural-topic-modeling；p2s-cross-cultural-voc-alignment；p2s-cross-cultural-voc-alignment；p2s-laca-crosslingual-absa,进入业务价值与场景边界评审：确认输入、输出、责任人、验收证据和上下游关系。,可进入下一轮业务聚类评审
SANBAO-57c8972b-数据质量,体验与满意度 × 数据质量 Preset 候选｜数据质量｜预测建模,待复核资产池,待人工命名,体验与满意度 × 数据质量 Preset 候选,体验与满意度,数据质量,预测建模,4,0.892,P3-先补证,data-analysis-workflows；data-validation；mongodb-schema-design；mongodb-schema-design,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-c3b27da4-数据质量,体验与满意度 × 数据质量 Preset 候选｜数据质量｜优化/运筹,待复核资产池,待人工命名,体验与满意度 × 数据质量 Preset 候选,体验与满意度,数据质量,优化/运筹,17,0.904,P3-先补证,cross-border-selection；cross-border-selection；ngs-fastq-qc；ruby-pro；skill-authoring-review；supercharge；track-management；dsh-code-review,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-40316b1d-数据质量,体验与满意度 × 数据质量 Preset 候选｜数据质量｜RAG/知识检索,待复核资产池,待人工命名,体验与满意度 × 数据质量 Preset 候选,体验与满意度,数据质量,RAG/知识检索,2,0.95,P3-先补证,jupyter-notebook；scrna-seq-qc,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-62b7f4bc-数据质量,体验与满意度 × 数据质量 Preset 候选｜数据质量｜知识图谱/本体建模,待复核资产池,待人工命名,体验与满意度 × 数据质量 Preset 候选,体验与满意度,数据质量,知识图谱/本体建模,21,0.913,P3-先补证,create-hook；data-quality-frameworks；fullstack-implementation；global-standards；ngs-bulk-rnaseq-counts-qc；vibe-code-auditor；zod-validation-expert；ArchitectProtocol,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-ab7c6b54-数据质量,体验与满意度 × 数据质量 Preset 候选｜数据质量｜视觉/多模态,待复核资产池,待人工命名,体验与满意度 × 数据质量 Preset 候选,体验与满意度,数据质量,视觉/多模态,4,0.838,P3-先补证,pitch-deck；theme-factory；theme-factory；theme-factory,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-8df12df4-数据质量,体验与满意度 × 数据质量 Preset 候选｜数据质量｜实验/评估,待复核资产池,待人工命名,体验与满意度 × 数据质量 Preset 候选,体验与满意度,数据质量,实验/评估,11,0.881,P3-先补证,prototype-spike；clinvar-database；content-research-writer；content-research-writer；best-of-n；requesting-code-review；requesting-code-review；requesting-code-review,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-3dad179e-数据质量,体验与满意度 × 数据质量 Preset 候选｜数据质量｜合规/规则扫描,待复核资产池,待人工命名,体验与满意度 × 数据质量 Preset 候选,体验与满意度,数据质量,合规/规则扫描,12,0.918,P3-先补证,data-quality-monitoring；issue-triage；copy-editing；subagent-driven-development；subagent-driven-development；subagent-driven-development；dummy-dataset；dummy-dataset,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-3c5ac2ed-数据质量,体验与满意度 × 数据质量 Preset 候选｜数据质量｜工程模式/自动化,待复核资产池,待人工命名,体验与满意度 × 数据质量 Preset 候选,体验与满意度,数据质量,工程模式/自动化,26,0.88,P3-先补证,code-simplifier；issue-plan-slicer；ngs-dna-somatic-variants；ngs-dna-umi-panel-variants；create-subagent；voice-clone；code-reviewer；code-reviewer,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-5c9b378f-数据质量,体验与满意度 × 数据质量 Preset 候选｜数据质量｜按技能原文流程执行,待复核资产池,待人工命名,体验与满意度 × 数据质量 Preset 候选,体验与满意度,数据质量,按技能原文流程执行,11,0.755,P3-先补证,code-review；code-review；review-fix-loop；format-standardize；abstraction-quality；fix-code；Skill-AutoQual-Review-Quality-Assessment；Skill-Review-Dedup-Quality-Filter,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,3 条源文件不可稳定读取；超过半数记录需要字段复核；核心能力未结构化
SANBAO-bc2bc3d0-集成部署,体验与满意度 × 集成部署 Preset 候选｜集成部署｜DiD/因果推断,待复核资产池,待人工命名,体验与满意度 × 集成部署 Preset 候选,体验与满意度,集成部署,DiD/因果推断,10,0.903,P3-先补证,stripe-apps；evolve-and-diagnose-redux-apps/debug-redux-toolkit-apps；evolve-and-diagnose-redux-apps/debug-redux-toolkit-apps；evolve-and-diagnose-redux-apps/debug-redux-toolkit-apps；evolve-and-diagnose-redux-apps/debug-redux-toolkit-apps；evolve-and-diagnose-redux-apps/debug-redux-toolkit-apps；evolve-and-diagnose-redux-apps/debug-redux-toolkit-apps；python3-bug,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-f6a4316f-集成部署,体验与满意度 × 集成部署 Preset 候选｜集成部署｜NLP/情感分析,待复核资产池,待人工命名,体验与满意度 × 集成部署 Preset 候选,体验与满意度,集成部署,NLP/情感分析,6,0.93,P3-先补证,review-analyst-agent；review-analyst-agent；onboarding；to-tickets；twilio-agent-augmentation-architect；twilio-ai-agent-architect,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-ebcd0c8c-集成部署,体验与满意度 × 集成部署 Preset 候选｜集成部署｜预测建模,待复核资产池,待人工命名,体验与满意度 × 集成部署 Preset 候选,体验与满意度,集成部署,预测建模,5,0.926,P3-先补证,p2s-affective-computing-maternal-anxiety；p2s-affective-computing-maternal-anxiety；diffdock；find-skills；drugbank-database,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-f7efb906-集成部署,体验与满意度 × 集成部署 Preset 候选｜集成部署｜优化/运筹,待复核资产池,待人工命名,体验与满意度 × 集成部署 Preset 候选,体验与满意度,集成部署,优化/运筹,29,0.887,P3-先补证,architecture-compass；browser-record-replay；istio-traffic-management；miniprogram-development；omniverse-realtime-viewer；on-call-handoff-patterns；openai-ads-conversions-setup；temporal-serverless,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-4a5b1f5f-集成部署,体验与满意度 × 集成部署 Preset 候选｜集成部署｜RAG/知识检索,待复核资产池,待人工命名,体验与满意度 × 集成部署 Preset 候选,体验与满意度,集成部署,RAG/知识检索,1,0.85,P3-先补证,upgrading-expo,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-af0d2e6e-集成部署,体验与满意度 × 集成部署 Preset 候选｜集成部署｜知识图谱/本体建模,待复核资产池,待人工命名,体验与满意度 × 集成部署 Preset 候选,体验与满意度,集成部署,知识图谱/本体建模,16,0.918,P3-先补证,codegraph-ast-grep；api-design-principles；atlas-stream-processing；atlas-stream-processing；dependency-upgrade；distributed-tracing；glove；laravel-multi-tenancy,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-3da8d86e-集成部署,体验与满意度 × 集成部署 Preset 候选｜集成部署｜视觉/多模态,待复核资产池,待人工命名,体验与满意度 × 集成部署 Preset 候选,体验与满意度,集成部署,视觉/多模态,16,0.88,P3-先补证,solo-build；design-system；e2e-testing-patterns；stripe-integration；twilio-conversations-classic-api；v0-dev；v0-dev；v0-dev,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-6015269e-集成部署,体验与满意度 × 集成部署 Preset 候选｜集成部署｜实验/评估,待复核资产池,待人工命名,体验与满意度 × 集成部署 Preset 候选,体验与满意度,集成部署,实验/评估,1,0.93,P3-先补证,buy-now-pay-later-setup,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-fb93ff54-集成部署,体验与满意度 × 集成部署 Preset 候选｜集成部署｜合规/规则扫描,待复核资产池,待人工命名,体验与满意度 × 集成部署 Preset 候选,体验与满意度,集成部署,合规/规则扫描,15,0.93,P3-先补证,cloudbase-code-review；cloudbase-code-review；cloudbase-code-review；cloudbase-code-review；cloudbase-code-review；codex-mcp-dev；international-shipping-customs；international-shipping-customs,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-b5d794de-集成部署,体验与满意度 × 集成部署 Preset 候选｜集成部署｜工程模式/自动化,待复核资产池,待人工命名,体验与满意度 × 集成部署 Preset 候选,体验与满意度,集成部署,工程模式/自动化,26,0.888,P3-先补证,biorxiv-database；Command Development；competitor-analysis；competitor-analysis；naming-gen；netlify-deploy；netlify-deploy；eSIM,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-00088ee1-集成部署,体验与满意度 × 集成部署 Preset 候选｜集成部署｜按技能原文流程执行,待复核资产池,待人工命名,体验与满意度 × 集成部署 Preset 候选,体验与满意度,集成部署,按技能原文流程执行,10,0.85,P3-先补证,loop-global-todos；loopx；loopx；loopx-global-todos；loopx-pr-review；loopx-pr-review；loopx-pr-review；migrate-to-codex,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核；核心能力未结构化
SANBAO-8de7aeb9-自动化执行,体验与满意度 × 自动化执行 Preset 候选｜自动化执行｜DiD/因果推断,待复核资产池,待人工命名,体验与满意度 × 自动化执行 Preset 候选,体验与满意度,自动化执行,DiD/因果推断,11,0.931,P3-先补证,p2s-maa-review-to-action-decision；p2s-maa-review-to-action-decision；p2s-nlp-sentiment-ml-pipeline；p2s-nlp-sentiment-ml-pipeline；multi-platform-rpa-execution-new；start-work；start-work；start-work,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-bb1f4d10-自动化执行,体验与满意度 × 自动化执行 Preset 候选｜自动化执行｜NLP/情感分析,待复核资产池,待人工命名,体验与满意度 × 自动化执行 Preset 候选,体验与满意度,自动化执行,NLP/情感分析,35,0.92,P3-先补证,aily-cli-event；aily-cli-event；alibaba-global-chat-analysis-pro；p2s-cost-aware-agent-scheduling；p2s-cost-aware-agent-scheduling；p2s-cultural-data-collection；p2s-cultural-data-collection；p2s-dialin-llm-case-intent-clustering,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,1 条源文件不可稳定读取
