cluster_id,业务价值类型,问题类型,主核心能力,skill_count,high_confidence_count,needs_review_count,review_ratio,text_quality_risk_count,avg_confidence,top_sources,top_scenarios,三宝候选层级,三宝Preset候选,数字员工候选,代表技能,聚类说明,复核原因,代表用途
C-66a44032-数据质量,增长与收入,数据质量,NLP/情感分析,10,10,0,0.0,0,0.95,project_skill:5；home_skill:5,研发与代码:7；业务经营与AgenticOS:3,场景工作流候选,增长与收入 × 数据质量 Preset 候选,待人工命名,p2s-ai-generated-content-detection；p2s-ai-generated-content-detection；p2s-dark-pattern-review-detection；p2s-dark-pattern-review-detection；p2s-fraud-signal-collection；p2s-fraud-signal-collection；p2s-hijacker-seller-network-analysis；p2s-hijacker-seller-network-analysis,围绕增长与收入中的数据质量问题，主要使用NLP/情感分析能力处理。,可进入下一轮业务聚类评审,用于AI 生成内容检测 — Perplexity/Burstiness 统计特征分类器：AI 生成文本的统计分布与人类写作有系统性差异：AI 倾向于生成「低困惑度、低突发性」的文本（词汇选择高度可预测），而人类写作「困惑度高、突发性强」（偶尔用冷僻词，情绪驱动跳跃）。基于这两个统计特征构建轻量分类器，无需调用任何 API，本地即可检测。；用于AI 生成内容检测 — Perplexity/Burstiness 统计特征分类器：AI 生成文本的统计分布与人类写作有系统性差异：AI 倾向于生成「低困惑度、低突发性」的文本（词汇选择高度可预测），而人类写作「困惑度高、突发性强」（偶尔用冷僻词，情绪驱动跳跃）。基于这两个统计特征构建轻量分类器，无需调用任何 API，本地即可检测。；触发词：水军检测、暗模式评论、差评攻击、协调行为识别、刷单自查。何时不用：只判别单条文本是否机器生成走 AI 生成内容检测；只看差评速率波动可用更轻的异常检测。安全边界：reviewer 行为分析须遵循 GDPR 数据最小化；误报会误伤真实评论，提交申诉前须设高置信阈值。
C-efe456d6-数据质量,增长与收入,数据质量,预测建模,22,22,4,0.182,0,0.945,home_skill:12；project_skill:10,业务经营与AgenticOS:10；研发与代码:8；数据分析与BI:4,场景工作流候选,增长与收入 × 数据质量 Preset 候选,待人工命名,p2s-blockecho-missing-data；p2s-blockecho-missing-data；p2s-contrastive-sequential-recommendation；p2s-contrastive-sequential-recommendation；p2s-cross-platform-user-transfer；p2s-cross-platform-user-transfer；p2s-gnn-foundations；p2s-gnn-foundations,围绕增长与收入中的数据质量问题，主要使用预测建模能力处理。,可进入下一轮业务聚类评审,"触发词：块缺失、整段缺失、数据补全、GAN 补数、流量恢复。何时不用：只是零散单元格缺失（点缺失）时常规插补即可；要监控采集延迟与缺失告警走数据质量监控。安全边界：无。；触发词：块缺失、整段缺失、数据补全、GAN 补数、流量恢复。何时不用：只是零散单元格缺失（点缺失）时常规插补即可；要监控采集延迟与缺失告警走数据质量监控。安全边界：无。；用于独立站月 UV 5,000，每天只有 300-500 个真实购买行为，数据量不足以训练高质量序列推荐模型。对比学习通过数据增强从稀疏数据中提取更多监督信号。，通过RAG/知识检索；预测建模；优化/运筹形成- 基于对比学习预训练的商品嵌入 - 推荐精度对比：纯监督 vs 对比学习增强。"
C-79e50d48-数据质量,增长与收入,数据质量,优化/运筹,10,10,6,0.6,0,0.905,project_skill:4；home_skill:4；icloud_skill:2,业务经营与AgenticOS:3；研发与代码:3；数据分析与BI:2；文档与知识:2,待复核资产池,增长与收入 × 数据质量 Preset 候选,待人工命名,p2s-seed-quality-optimization-for-lookalike；p2s-seed-quality-optimization-for-lookalike；p2s-streaming-etl-flink-kafka；p2s-streaming-etl-flink-kafka；competitive-analysis；datapack-builder；shopify-cro-function；shopify-cro-function,围绕增长与收入中的数据质量问题，主要使用优化/运筹能力处理。,超过半数记录需要字段复核,"用于奶粉品牌用过去 90 天""购买者""（2,000 人）做 Lookalike，但 ROAS 只有 1.9x（历史均值 3.2x）。排查后发现种子集中包含：约 80 名员工内购（公司域名邮箱）、约 150 名疑似刷单用户（同一时间批量购买）、约 200 名优惠券用户（只在大促期买一次，价格极敏感）。，通过知识图谱/本体建模；优化/运筹；实验/评估形成净化后种子从 2,000 → 1,540 人（-23%），但种子纯度从 68% → 94%。；用于奶粉品牌用过去 90 天""购买者""（2,000 人）做 Lookalike，但 ROAS 只有 1.9x（历史均值 3.2x）。排查后发现种子集中包含：约 80 名员工内购（公司域名邮箱）、约 150 名疑似刷单用户（同一时间批量购买）、约 200 名优惠券用户（只在大促期买一次，价格极敏感）。，通过知识图谱/本体建模；优化/运筹；实验/评估形成净化后种子从 2,000 → 1,540 人（-23%），但种子纯度从 68% → 94%。；触发词：流式 ETL、实时数仓、Flink、Kafka、实时看板、双流 Join。何时不用：T+1 报表已够用、或问题只是这批数据对不对时走数据质…"
C-fecfaeaa-数据质量,增长与收入,数据质量,知识图谱/本体建模,5,5,1,0.2,0,0.944,home_skill:3；project_skill:2,业务经营与AgenticOS:2；研发与代码:2；协作与外部工具:1,原子技能组候选,增长与收入 × 数据质量 Preset 候选,待人工命名,p2s-ecommerce-data-quality-assessment；p2s-ecommerce-data-quality-assessment；p2s-sc-ontology-schema-versioning；p2s-sc-ontology-schema-versioning；nges-data-360,围绕增长与收入中的数据质量问题，主要使用知识图谱/本体建模能力处理。,可进入下一轮业务聚类评审,触发词：商品数据质量、字段评分、行级门控、目录体检、待修复队列。何时不用：要对齐多系统同一实体的数字走跨系统对账；要监控管道运行状态走质量告警。安全边界：卡页原文明示低质 SKU 不得直接进入下游属性图谱与上架流程，门控阈值须先校准再全量放行。；触发词：商品数据质量、字段评分、行级门控、目录体检、待修复队列。何时不用：要对齐多系统同一实体的数字走跨系统对账；要监控管道运行状态走质量告警。安全边界：卡页原文明示低质 SKU 不得直接进入下游属性图谱与上架流程，门控阈值须先校准再全量放行。；触发词：本体版本管理、Schema迁移、向后兼容、双写过渡、依赖Agent通知。何时不用：只是检测上游字段变更并加兼容层时用数据契约技能；只做知识图谱实体增删改时用知识图谱增量更新技能。安全边界：破坏性变更必须走双写过渡与依赖方确认，不得直接切换版本，变更前须保留旧版本快照以便回滚。
C-18692703-数据质量,增长与收入,数据质量,视觉/多模态,1,1,1,1.0,0,0.85,remote_plugin_skill:1,数据分析与BI:1,待复核资产池,增长与收入 × 数据质量 Preset 候选,待人工命名,artifact-template-analytics-dashboard,围绕增长与收入中的数据质量问题，主要使用视觉/多模态能力处理。,超过半数记录需要字段复核,"Create a spreadsheet using the Analytics Dashboard template and its retained reference file. Use when the user selects or names Analytics Dashboard. Monitor acquisition, engagement, retention, revenue, and conversion fu…"
C-a489444f-数据质量,增长与收入,数据质量,实验/评估,6,6,2,0.333,0,0.94,home_skill:4；project_skill:2,业务经营与AgenticOS:4；数据分析与BI:2,场景工作流候选,增长与收入 × 数据质量 Preset 候选,待人工命名,p2s-advertising-tacos-pnl-integration；p2s-advertising-tacos-pnl-integration；p2s-tag-fairness-bias-audit；p2s-tag-fairness-bias-audit；realtime-data-requirement-review；unit-economics,围绕增长与收入中的数据质量问题，主要使用实验/评估能力处理。,可进入下一轮业务聚类评审,"触发词：TACoS 分析、广告归因、SKU 净利率、新品广告摊销、预算削减评估。何时不用：要算促销增量与供应侧成本用「促销供应侧 ROI」；要评估推荐位带来的增量 GMV 用「推荐系统财务归因」。安全边界：投放受平台政策约束，不得据本卡结论自动调价或无限加预算；削减预算前须保留人工审核。；触发词：TACoS 分析、广告归因、SKU 净利率、新品广告摊销、预算削减评估。何时不用：要算促销增量与供应侧成本用「促销供应侧 ROI」；要评估推荐位带来的增量 GMV 用「推荐系统财务归因」。安全边界：投放受平台政策约束，不得据本卡结论自动调价或无限加预算；削减预算前须保留人工审核。；用于Tag Fairness & Bias Audit — 标签系统算法偏见检测与公平性修正：自动化标签系统（年龄段/性别/适用场景）在训练数据中存在的历史偏见会被模型放大，导致""女婴产品""被过度推荐给所有婴儿、或""高端品牌""标签偏向特定用户群。本 Skill 提供系统性偏见检测框架：测量标签在不同敏感属性分组间的分配差异，并通过重采样或后处理校正。"
C-e41252a4-数据质量,增长与收入,数据质量,工程模式/自动化,3,3,3,1.0,0,0.95,home_skill:3,业务经营与AgenticOS:1；数据分析与BI:1；研发与代码:1,待复核资产池,增长与收入 × 数据质量 Preset 候选,待人工命名,dcf-valuation；ic-memo；teaser,围绕增长与收入中的数据质量问题，主要使用工程模式/自动化能力处理。,超过半数记录需要字段复核,"Performs discounted cash flow (DCF) valuation analysis to estimate intrinsic value per share. Triggers when user asks for fair value, intrinsic value, DCF, valuation, ""what is X worth"", price target, undervalued/overval…；用于ic memo：- Industry/market context - Historical financials (3-5 years) - Management assessment - Deal terms (price, structure, financing) - Due diligence findings (commercial, financial, legal, operational)；- Business description, products/services - Custome…；用于teaser：Company Description (2-3 sen…"
C-4f64b1ee-集成部署,增长与收入,集成部署,DiD/因果推断,5,5,3,0.6,0,0.902,home_skill:3；remote_plugin_skill:1；project_skill:1,数据分析与BI:3；研发与代码:2,待复核资产池,增长与收入 × 集成部署 Preset 候选,待人工命名,p2s-bayesian-mmm-action-plan-generator；p2s-bayesian-mmm-action-plan-generator；observability；observability；observability,围绕增长与收入中的集成部署问题，主要使用DiD/因果推断能力处理。,超过半数记录需要字段复核,触发词：贝叶斯MMM、预算情景方案、保守中性激进、后验不确定性、季度预算规划。何时不用：没有MMM后验输出或后验样本量不足时，先做识别与后验估计；只要单一最优分配、不需要多情景对比时，走普通预算分配类技能。安全边界：仅处理聚合ROI数据，不生成对外广告创意，三套方案须经CMO审阅后才可下发。；触发词：贝叶斯MMM、预算情景方案、保守中性激进、后验不确定性、季度预算规划。何时不用：没有MMM后验输出或后验样本量不足时，先做识别与后验估计；只要单一最优分配、不需要多情景对比时，走普通预算分配类技能。安全边界：仅处理聚合ROI数据，不生成对外广告创意，三套方案须经CMO审阅后才可下发。；用于observability：- Drains REST API - Drains Security - Web Analytics Drains Reference - Monitoring - @vercel/analytics npm
C-878c5409-集成部署,增长与收入,集成部署,NLP/情感分析,3,3,1,0.333,0,0.94,home_skill:2；project_skill:1,业务经营与AgenticOS:2；数据库与后端服务:1,原子技能组候选,增长与收入 × 集成部署 Preset 候选,待人工命名,observability-and-instrumentation；p2s-llm-hallucination-detection-bi；onboarding,围绕增长与收入中的集成部署问题，主要使用NLP/情感分析能力处理。,可进入下一轮业务聚类评审,"给生产代码加日志、指标、链路追踪与告警：先写下值班会问的问题，再按信号类型埋点，并验证遥测本身可用。触发词：可观测性埋点、observability-and-instrumentation、给生产代码加日志、指标、链路追踪与告警：先写下值班会问的问题，再按信号类型埋点，并验证遥测本身可用。；触发词：幻觉检测、事实一致性、BI 报表核验、数字对账、来源分级。何时不用：要评知识库检索与回答质量走 RAG 评测；要做论文级原子声明核查走声明级核查流水线。安全边界：检测结果不可直接对外公开（如 AI 报告含多少幻觉会引发舆论风险），判为错误的关键决策数字须触发人工复核而非自动拦截。；First-run interview that learns how the team actually works and writes the plugin's QODERWORK.md. Use on first install, when QODERWORK.md is missing or contains [PLACEHOLDER] markers, or when the user says ""set up"", ""co…"
C-655a9982-集成部署,增长与收入,集成部署,优化/运筹,2,2,2,1.0,0,0.89,home_skill:2,数据分析与BI:1；研发与代码:1,待复核资产池,增长与收入 × 集成部署 Preset 候选,待人工命名,angular-migration；index,围绕增长与收入中的集成部署问题，主要使用优化/运筹能力处理。,超过半数记录需要字段复核,"Migrate from AngularJS to Angular using hybrid mode, incremental component rewriting, and dependency injection updates. Use when upgrading AngularJS applications, planning framework migrations, or modernizing legacy Ang…；用于index：Route broad Data Analytics requests to the right focused workflow. Treat invocation of this index as strong intent to use this plugin when the request needs quantitative evidence, source verification, metric reasoning, or a decision grounded in data;…"
C-ce51ca14-集成部署,增长与收入,集成部署,RAG/知识检索,1,1,1,1.0,0,0.95,home_skill:1,研发与代码:1,待复核资产池,增长与收入 × 集成部署 Preset 候选,待人工命名,omero-integration,围绕增长与收入中的集成部署问题，主要使用RAG/知识检索能力处理。,超过半数记录需要字段复核,"用于omero integration：OMERO is an open-source platform for managing, visualizing, and analyzing microscopy images and metadata. Access images via Python API, retrieve datasets, analyze pixels, manage ROIs and annotations, for high-content screening and microsco…"
C-78a610ef-集成部署,增长与收入,集成部署,知识图谱/本体建模,1,1,1,1.0,0,0.88,home_skill:1,研发与代码:1,待复核资产池,增长与收入 × 集成部署 Preset 候选,待人工命名,dto-sync-patterns,围绕增长与收入中的集成部署问题，主要使用知识图谱/本体建模能力处理。,超过半数记录需要字段复核,用于dto sync patterns：``` ┌─────────────────────────────────────────────────────────────────────┐ │ DTO SYNC STRATEGIES │ ├─────────────────────────────────────────────────────────────────────┤
C-f213f54b-集成部署,增长与收入,集成部署,视觉/多模态,4,4,4,1.0,0,0.893,home_skill:3；local_agent_skill:1,数据库与后端服务:2；协作与外部工具:1；研发与代码:1,待复核资产池,增长与收入 × 集成部署 Preset 候选,待人工命名,physical-ai-neural-reconstruction；ai-model-wechat；ai-model-wechat；ai-model-wechat,围绕增长与收入中的集成部署问题，主要使用视觉/多模态能力处理。,超过半数记录需要字段复核,"用于physical ai neural reconstruction：This is a thin router for NVIDIA Neural Reconstruction (NuRec) requests. It points at the upstream nurec-index skill at https://github.com/NVIDIA/nurec-skills and its five sibling skills (physical-ai-datasets, ncore, nre, a…；Use this skill for WeChat Mini Program AI via wx.cloud.extend.AI (小程序, 企业微信小程序, wx.cloud apps). Features generateText and streamText with callbacks (onText, onEvent, onFinish). Models via wx.cloud.extend.AI.createModel…；Use this skill for WeChat Mini Program…"
C-9ba632e4-集成部署,增长与收入,集成部署,合规/规则扫描,1,1,1,1.0,0,0.95,home_skill:1,数据分析与BI:1,待复核资产池,增长与收入 × 集成部署 Preset 候选,待人工命名,xlsx,围绕增长与收入中的集成部署问题，主要使用合规/规则扫描能力处理。,超过半数记录需要字段复核,"Use this skill any time a spreadsheet file is the primary input or output. This means any task where the user wants to: open, read, edit, or fix an existing .xlsx, .xlsm, .xltx, .csv, or .tsv file (e.g., adding columns,…"
C-18ebf15b-集成部署,增长与收入,集成部署,工程模式/自动化,9,9,9,1.0,0,0.902,home_skill:8；icloud_skill:1,数据分析与BI:6；产品设计与UIUX:2；本地诊断与运维:1,待复核资产池,增长与收入 × 集成部署 Preset 候选,待人工命名,pymatgen；xlsx；xlsx；xlsx；xlsx；xlsx；build123d；audio generation,围绕增长与收入中的集成部署问题，主要使用工程模式/自动化能力处理。,超过半数记录需要字段复核,"用于pymatgen：Pymatgen is a comprehensive Python library for materials analysis that powers the Materials Project. Create, analyze, and manipulate crystal structures and molecules, compute phase diagrams and thermodynamic properties, analyze electronic structure…；用于xlsx：A user may ask you to create, edit, or analyze the contents of an .xlsx file. You have different tools and workflows available for different tasks.；主要产出All Excel files。；用于xlsx：A user may ask you to create, edit, or analyze the contents of an .xlsx fil…"
C-6003034c-集成部署,增长与收入,集成部署,按技能原文流程执行,1,1,1,1.0,0,0.95,home_skill:1,数据分析与BI:1,待复核资产池,增长与收入 × 集成部署 Preset 候选,待人工命名,convert-file,围绕增长与收入中的集成部署问题，主要使用按技能原文流程执行能力处理。,超过半数记录需要字段复核；核心能力未结构化,"Convert any data file to another format: CSV, Parquet, JSON, Excel, GeoJSON, and more. Use when the user says ""convert to parquet"", ""save as xlsx"", ""export as JSON"", ""make this a CSV"", ""turn into parquet"", or any variat…"
C-ef769849-自动化执行,增长与收入,自动化执行,DiD/因果推断,12,12,0,0.0,0,0.95,home_skill:6；project_skill:6,业务经营与AgenticOS:6；研发与代码:4；数据分析与BI:2,场景工作流候选,增长与收入 × 自动化执行 Preset 候选,待人工命名,p2s-ab-testing-platform-infrastructure；p2s-ab-testing-platform-infrastructure；p2s-agent-slo-manager；p2s-agent-slo-manager；p2s-automated-causal-discovery；p2s-automated-causal-discovery；p2s-kg-powered-user-profiling；p2s-kg-powered-user-profiling,围绕增长与收入中的自动化执行问题，主要使用DiD/因果推断能力处理。,可进入下一轮业务聚类评审,用于运营想同时测试：①主图 A/B ②价格敏感测试 ③推荐算法对比 ④标题文案优化 ⑤客服机器人。如果没有平台，这些实验可能相互干扰（同一用户既参与价格测试又参与推荐测试，无法分清哪个因素影响了转化）。，通过DiD/因果推断；优化/运筹；实验/评估形成- 5 个实验的独立结果（互不干扰） - 实时实验看板 - 每个实验的统计显著性报告。；用于运营想同时测试：①主图 A/B ②价格敏感测试 ③推荐算法对比 ④标题文案优化 ⑤客服机器人。如果没有平台，这些实验可能相互干扰（同一用户既参与价格测试又参与推荐测试，无法分清哪个因素影响了转化）。，通过DiD/因果推断；优化/运筹；实验/评估形成- 5 个实验的独立结果（互不干扰） - 实时实验看板 - 每个实验的统计显著性报告。；触发词：三层SLI、SLO管理、服务与任务指标、判断质量抽查、上线门禁、自动回滚。何时不用：要把错误预算与自主权联动时用「Agent错误预算」；要做单次运行逐步链路追踪时用「Agent可观测性追踪」。安全边界：Judgment SLI 必须靠人工抽查协议率校准，不得只靠自动指标自证达标；SLI 触发 CRITICAL 必须自动回滚，禁止用人工口头放行替代。
C-4bb2b111-自动化执行,增长与收入,自动化执行,NLP/情感分析,17,17,1,0.059,0,0.948,home_skill:9；project_skill:8,业务经营与AgenticOS:10；研发与代码:4；数据分析与BI:3,场景工作流候选,增长与收入 × 自动化执行 Preset 候选,待人工命名,multi-platform-product-analysis；multi-platform-store-analysis-new；p2s-agentic-competitor-intelligence；p2s-agentic-competitor-intelligence；p2s-autoqual-review-quality-assessment；p2s-autoqual-review-quality-assessment；p2s-llm-augmented-recommendation；p2s-llm-augmented-recommendation,围绕增长与收入中的自动化执行问题，主要使用NLP/情感分析能力处理。,可进入下一轮业务聚类评审,拉取并分析淘宝、抖店、京东、拼多多和 1688 的商品列表与商品经营数据，覆盖销量、GMV、流量转化、库存、爆款/滞销、排行、清单和明细 Excel 导出。拼多多商品数据使用 pdd product detail DSL 采集，独立切换概况/列表/详情周期、动态解码 spider-font，并逐个采集前 10 个商品详情；全部平台统一走 Execution。用户没有明确指定商品 ID 时使用本 Skill；已经得到明确商品 ID 且要…；当用户需要分析淘宝、天猫、抖店、京东、拼多多或 1688 店铺的整体经营状况时使用本 Skill。典型场景：查看店铺经营数据、生成经营周报/月报、分析 GMV/流量/订单/转化趋势、对比多平台或多店铺经营表现、导出经营原始数据。只要用户诉求涉及“店铺经营分析、经营报告、周报/月报、GMV、流量、订单、转化”等内容，无论单平台还是多平台、单店铺还是多店铺，即应加载本 Skill。用户在店铺相关诉求中附带任何 URL 时，URL 输入完全…；触发词：竞品监控、情报简报、价格异动、热词挖掘。何时不用：只需一次性竞品快照时不用自动巡检；判断品类整体趋势用品类趋势预测类技能。安全边界：仅采集公开数据…
C-6bef9096-自动化执行,增长与收入,自动化执行,预测建模,15,15,1,0.067,0,0.95,home_skill:8；project_skill:7,研发与代码:11；业务经营与AgenticOS:3；customer-crm:1,场景工作流候选,增长与收入 × 自动化执行 Preset 候选,待人工命名,p2s-agent-finance-autopilot；p2s-agent-finance-autopilot；p2s-agent-workforce-replacement-calculator；p2s-agent-workforce-replacement-calculator；p2s-customer-journey-analytics；p2s-customer-journey-analytics；p2s-real-time-streaming-recommendation；p2s-real-time-streaming-recommendation,围绕增长与收入中的自动化执行问题，主要使用预测建模能力处理。,可进入下一轮业务聚类评审,触发词：财务自动化、P&L 实时分析、多 Agent 周报、差异归因、三平台汇总。何时不用：只做单月 SKU 级成本拆解用「SKU 级 P&L 归因 Agent」；只看广告费与利润关系用「广告 TACoS 与 P&L 集成」。安全边界：Agent 只产出分析与建议，付款、报税与调价动作须人工确认；财务数据不得外传第三方模型。；触发词：财务自动化、P&L 实时分析、多 Agent 周报、差异归因、三平台汇总。何时不用：只做单月 SKU 级成本拆解用「SKU 级 P&L 归因 Agent」；只看广告费与利润关系用「广告 TACoS 与 P&L 集成」。安全边界：Agent 只产出分析与建议，付款、报税与调价动作须人工确认；财务数据不得外传第三方模型。；触发词：人力替代、岗位 ROI、任务可替代度、AI 化优先级、团队配置。何时不用：只梳理岗位能力要求用岗位能力分析类技能；只做成本与利润测算用经济性分析类技能。安全边界：测算结论只能用于资源配置参考，不得直接作为裁员或调岗决策依据。
C-f87f6847-自动化执行,增长与收入,自动化执行,优化/运筹,21,21,6,0.286,0,0.944,home_skill:11；project_skill:9；icloud_skill:1,业务经营与AgenticOS:10；研发与代码:7；lute cbec:1；marketing-growth:1；数据分析与BI:1,场景工作流候选,增长与收入 × 自动化执行 Preset 候选,待人工命名,p2s-autonomous-ab-report-agent；p2s-autonomous-ab-report-agent；p2s-clickstream-persona-pipeline；p2s-clickstream-persona-pipeline；p2s-graph-foundation-model-recommendation；p2s-graph-foundation-model-recommendation；p2s-mas-revenue-operations；p2s-mas-revenue-operations,围绕增长与收入中的自动化执行问题，主要使用优化/运筹能力处理。,可进入下一轮业务聚类评审,触发词：自动报告、统计检验解读、FDR校正、报告生成、分析师提效。何时不用：只要单个实验的结论判定、不需要成稿报告时用A/B结果解读类技能。安全边界：报告只含聚合统计不含个人信息；须设统计阈值硬约束，不允许LLM推翻p 0.05的结论。；触发词：自动报告、统计检验解读、FDR校正、报告生成、分析师提效。何时不用：只要单个实验的结论判定、不需要成稿报告时用A/B结果解读类技能。安全边界：报告只含聚合统计不含个人信息；须设统计阈值硬约束，不允许LLM推翻p 0.05的结论。；触发词：点击流画像、Persona离散化、行为知识图谱、个性化推荐、用户分群。何时不用：只把评论转成情感特征时用情感 ML 管道技能；只需在线读取特征值、不涉及分群时用实时特征仓库技能。安全边界：用户行为数据须去标识化并按隐私授权使用，画像标签不得用于歧视性区别对待。
C-413d4a23-自动化执行,增长与收入,自动化执行,RAG/知识检索,5,5,1,0.2,0,0.95,home_skill:3；project_skill:2,研发与代码:3；业务经营与AgenticOS:2,原子技能组候选,增长与收入 × 自动化执行 Preset 候选,待人工命名,p2s-embedding-fundamentals；p2s-embedding-fundamentals；p2s-user-profile-long-memory；p2s-user-profile-long-memory；convert-python-golang,围绕增长与收入中的自动化执行问题，主要使用RAG/知识检索能力处理。,可进入下一轮业务聚类评审,触发词：嵌入表示、冷启动初始化、相似品热启动、语义对齐、多模态嵌入。何时不用：要在表格上加工或筛选特征时用特征工程/特征选择；要做图上的关系传播时用 GNN。安全边界：无。；触发词：嵌入表示、冷启动初始化、相似品热启动、语义对齐、多模态嵌入。何时不用：要在表格上加工或筛选特征时用特征工程/特征选择；要做图上的关系传播时用 GNN。安全边界：无。；触发词：跨会话画像、长期记忆、育儿阶段感知、偏好持久化、主动预判推荐。何时不用：只做单次会话推荐或离线分层用 RFM 类技能，本技能维护可持久化的结构化画像并跨会话更新。安全边界：画像存储须遵守个人信息保护要求并支持用户查询与删除，推断出的月龄等属性不得对外披露，不得用于歧视性定价。
C-6020757e-自动化执行,增长与收入,自动化执行,知识图谱/本体建模,3,3,1,0.333,0,0.95,home_skill:2；project_skill:1,业务经营与AgenticOS:2；产品设计与UIUX:1,原子技能组候选,增长与收入 × 自动化执行 Preset 候选,待人工命名,p2s-topological-data-analysis-cross-sell；p2s-topological-data-analysis-cross-sell；image-understanding-native,围绕增长与收入中的自动化执行问题，主要使用知识图谱/本体建模能力处理。,可进入下一轮业务聚类评审,触发词：拓扑数据分析、TDA、交叉销售、连带购买率、隐性关联路径、会员活动。何时不用：常规跨商家推荐排序用「Skill-Federated-Cross-Seller-Recommendation」；实时流式推荐用「Skill-Real-Time-Streaming-Recommendation」；会话级序列推荐用「Skill-Session-Based-Recommendation-SR-GNN」；要按成分/认证解释推荐理由用「知识图…；触发词：拓扑数据分析、TDA、交叉销售、连带购买率、隐性关联路径、会员活动。何时不用：常规跨商家推荐排序用「Skill-Federated-Cross-Seller-Recommendation」；实时流式推荐用「Skill-Real-Time-Streaming-Recommendation」；会话级序列推荐用「Skill-Session-Based-Recommendation-SR-GNN」；要按成分/认证解释推荐理由用「知识图…；图片结构化语义分析。Agent 直接看图输出结构化 JSON，零外部依赖。四种分析任务：全页面结构分析、设计风格提取、区域语义描述、对比差异分析。
C-4922c79d-自动化执行,增长与收入,自动化执行,实验/评估,2,2,2,1.0,0,0.94,home_skill:2,customer-crm:1；数据分析与BI:1,待复核资产池,增长与收入 × 自动化执行 Preset 候选,待人工命名,referral-program-builder；returns-analysis,围绕增长与收入中的自动化执行问题，主要使用实验/评估能力处理。,超过半数记录需要字段复核,"用于推荐计划搭建：A referral program transforms your customer base into a high-efficiency acquisition channel. By incentivizing existing customers (Referrers) to introduce new ones (Referees), brands can achieve a lower Customer Acquisition Cost (CAC) and higher Custo…；Build quick IRR/MOIC sensitivity tables for PE deal evaluation. Models returns across entry multiple, leverage, exit multiple, growth, and hold period scenarios. Use when sizing up a deal, stress-testing assumptions, or…"
C-fd090095-自动化执行,增长与收入,自动化执行,合规/规则扫描,3,3,0,0.0,0,0.95,project_skill:2；home_skill:1,研发与代码:2；业务经营与AgenticOS:1,原子技能组候选,增长与收入 × 自动化执行 Preset 候选,待人工命名,p2s-agent-error-budget；p2s-agent-error-budget；p2s-agent-error-budget,围绕增长与收入中的自动化执行问题，主要使用合规/规则扫描能力处理。,可进入下一轮业务聚类评审,触发词：错误预算、自主权预算、灰度发布门控、渐进放量、自动回滚、可靠性水位。何时不用：要判断单条决策能否自动执行时用「置信度决策门控」；要建立三层 SLI 指标与门限本身时用「Agent SLO 管理」。安全边界：Gate 未通过不得扩大流量，Judgment SLI 跌破阈值必须自动回滚并告警；自主权水位变更与回滚动作必须留审计记录，不得人工口头豁免。；触发词：错误预算、自主权预算、灰度发布门控、渐进放量、自动回滚、可靠性水位。何时不用：要判断单条决策能否自动执行时用「置信度决策门控」；要建立三层 SLI 指标与门限本身时用「Agent SLO 管理」。安全边界：Gate 未通过不得扩大流量，Judgment SLI 跌破阈值必须自动回滚并告警；自主权水位变更与回滚动作必须留审计记录，不得人工口头豁免。；触发词：错误预算、自主权预算、灰度发布门控、渐进放量、自动回滚、可靠性水位。何时不用：要判断单条决策能否自动执行时用「置信度决策门控」；要建立三层 SLI 指标与门限本身时用「Agent SLO 管理」。安全边界：Gate 未通过不得扩大流量，Judgment SLI 跌破阈值必须自动回滚并告警；自主权水位变更与回滚动作…
C-fdf4d7fb-自动化执行,增长与收入,自动化执行,工程模式/自动化,4,4,4,1.0,0,0.892,home_skill:4,协作与外部工具:1；数据分析与BI:1；研发与代码:1；通用规划与咨询:1,待复核资产池,增长与收入 × 自动化执行 Preset 候选,待人工命名,xmind-chain-per；model-update；deal-sourcing；mlops-industrialization-cn,围绕增长与收入中的自动化执行问题，主要使用工程模式/自动化能力处理。,超过半数记录需要字段复核,"Plan-Execute-Reflect 三段式（目标分解 → 执行序列 → 反思复盘，用于复杂项目/任务规划和执行）：4 相位执行纪律模板，含每相位输入/输出/检查点/停止/回环条件。触发词：任务涉及多个阶段和依赖关系、需要在执行中动态调整计划、希望在完成后沉淀可复用的经验、选执行模式、任务编排、Agent 工作流设计、subagent 派工。何时不用：见下方五链对照表选更合适的；日常低风险任务直接做，不必套链。；Update financial models with new data — quarterly earnings, management guidance, macro changes, or revised assumptions. Adjusts estimates, recalculates valuation, and flags material changes. Use after earnings, guidance…；PE deal sourcing workflow — discover target companies, check CRM for existing relationsh…"
